headword,type,cefr,meaning,ipa,example,image_link,topic
guitarist,noun,B1,a person who plays the guitar,/g?'t??r?st/,The guitarist played a solo.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gulp,noun,B2,an act of swallowing quickly or in large amounts,/g?lp/,He took a gulp of water.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gum,noun,B2,a soft substance for chewing; the firm tissue in the mouth around the teeth,/g?m/,Chew some gum after eating.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gun,noun,A2,a weapon that shoots bullets,/g?n/,The police officer carried a gun.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gunshot,noun,B2,the sound of a gun being fired; a shot from a gun,/'g?n??t/,We heard a gunshot in the night.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
guts,noun,B2,courage and determination (informal); the organs inside the body,/g?ts/,It takes guts to speak in public.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
guy,noun,A1,a man (informal); a person,/ga?/,He's a nice guy.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gym,noun,B1,a place with equipment for doing physical exercise,/d??m/,I go to the gym every day.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gymnastic,adjective,B2,relating to gymnastics; showing great skill or agility,/d??m'n?t?k/,She performed a gymnastic routine.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gymnastics,noun,B1,a sport involving exercises and movements that require strength and skill,/d??m'n?t?ks/,She practices gymnastics after school.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
habit,noun,A1,"something you do regularly, often without thinking",/'h??t/,He has a habit of biting his nails.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
habitant,noun,B2,a person or animal that lives in a particular place,/'h??t?nt/,The habitant of the island are friendly.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
habitat,noun,B1,the natural home of an animal or plant,/'h??t?/,The panda's habitat is in China.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
had,have-verb,A1,past tense of 'have',/h?/,I had breakfast at 7 a.m.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hail,verb,B2,to call to attract attention; to praise; to fall as small balls of ice from the sky,/he?l/,They hailed a taxi.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hair,noun,A1,the thin threads that grow on your head and body,/he?(r)/,She has long hair.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
haircut,noun,A1,the style in which someone's hair is cut; the act of cutting hair,/'he?k?t/,I need a haircut.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hairdresser,noun,B1,a person whose job is to cut and style hair,/'he??dres?(r)/,She is a hairdresser at a salon.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hairdryer,noun,B1,an electrical device for drying hair,/'he??dra??(r)/,Use a hairdryer after washing your hair.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hairy,adjective,B2,covered with hair; having a lot of hair,/'he?ri/,The dog is very hairy.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
half,adverb,B1,partly; to the extent of 50%,/h??f/,The glass is half full.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
half,determiner,A2,one of two equal parts of something,/h??f/,Half the class is absent.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
half,noun,A1,either of two equal parts; a period of time in sports,/h??f/,We played well in the first half.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
half,pronoun,A2,one of two equal parts of a whole,/h??f/,Half of them agreed.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
half-price,adjective,A2,costing 50% less than the usual price,/?h??f 'pra?s/,The shoes are half-price today.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
half-price,adverb,A2,at 50% less than the usual price,/?h??f 'pra?s/,You can buy it half-price.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hall,noun,A1,"a large room or building for meetings, concerts, or other events; the entrance area of a house",/h??l/,The concert is in the main hall.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
ham,noun,A2,"meat from the upper part of a pig's leg, cooked and eaten cold",/h?/,We had ham sandwiches for lunch.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hamburger,noun,A1,"a round, flat piece of cooked ground beef, or a sandwich with this and a bun",/'h?b??g?(r)/,I ordered a hamburger and fries.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hammer,noun,B1,a tool with a heavy metal head used for hitting things,/'h??(r)/,Use a hammer to drive in the nail.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hammer,verb,B2,to hit something with a hammer or with force,/'h??(r)/,He hammered the nail into the wall.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hand,noun,A1,"the part of the body at the end of the arm, used for holding things",/h?d/,She raised her hand.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hand,verb,A2,to give something to someone with your hand,/h?d/,Please hand me the salt.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
handbag,noun,A2,a small bag used by women to carry personal things,/'h?db?/,She put her keys in her handbag.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
handball,noun,B1,a game played by hitting a small ball against a wall with your hand; a team sport played with a ball and goals,/'h?db??l/,He plays handball after school.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hand-held,adjective,B1,designed to be held and used in the hand,/'h?d held/,He uses a hand-held camera.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
handicap,noun,B2,a physical or mental condition that limits a person's activities; a disadvantage,/'h?dik?/,His injury is a serious handicap.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
handicapped,adjective,A2,having a physical or mental condition that limits activities,/'h?dik?t/,Facilities for handicapped people are available.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
handicraft,noun,B2,an activity involving making things by hand; an object made by hand,/'h?dikr??ft/,She sells handicrafts at the market.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
handkerchief,noun,B1,a small piece of cloth for wiping your nose or face,/'h?k?t??f/,He carried a handkerchief in his pocket.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
handle,noun,A2,the part of something that you use to hold it,/'h?dl/,The handle of the door is broken.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
handle,verb,B1,"to touch, hold, or move something; to deal with a situation",/'h?dl/,Can you handle this problem?,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
handout,noun,B2,a document given to people to provide information; something given for free,/'h?da?t/,The teacher gave us a handout.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
handrail,noun,B2,"a rail to hold onto for support, especially on stairs",/'h?dre?l/,Hold the handrail when using the stairs.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
handshake,noun,B1,the act of taking someone's hand and shaking it as a greeting or agreement,/'h?d?e?k/,They greeted each other with a handshake.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
handsome,adjective,A1,good-looking (usually for men),/'h?s?m/,He is a handsome actor.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
handwriting,noun,B1,the style or way in which someone writes by hand,/'h?dra?t??/,Her handwriting is very neat.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
handy,adjective,B1,useful; easy to use or reach,/'h?di/,This tool is very handy.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hang,noun,B2,the way something hangs or falls; a method of execution,/h?/,The hang of the curtains is perfect.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hang,verb,B1,to attach or suspend something so that it is held up,/h?/,Hang your coat on the hook.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hanging,adjective,B1,attached at the top and not fixed at the bottom; related to execution by hanging,/'h???/,There are hanging plants in the window.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
happen,verb,A1,to take place; to occur,/'h??n/,What will happen next?,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
happily,adverb,A2,in a happy way,/'h??li/,They lived happily ever after.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
happiness,noun,A2,the state of being happy,/'h?in?s/,Money can't buy happiness.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
happy,adjective,A1,feeling or showing pleasure or contentment,/'h?i/,She is a happy child.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
harbor/harbour,noun,B1,a place on the coast where ships can stay safely,/'h??b?(r)/,The boat is in the harbor.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hard,adjective,A1,solid and firm; difficult to do or understand,/h??d/,The bed is too hard.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hard,adverb,A1,with a lot of effort; strongly,/h??d/,She works hard every day.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hard drive,noun,B2,the part of a computer that stores data,/'h??d dra?v/,My computer's hard drive is full.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hardly,adverb,A2,almost not; only just,/'h??dli/,I can hardly hear you.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hardship,noun,B1,a difficult or unpleasant situation,/'h??d??p/,They suffered great hardship during the war.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hardware,noun,B2,the physical parts of a computer; tools and equipment,/'h??dwe?(r)/,The store sells computer hardware.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hard-working,adjective,B1,always doing a lot of work; diligent,/?h??d 'w??k??/,She is a hard-working student.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
harm,noun,B2,damage or injury,/h??m/,Smoking can cause harm to your health.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
harm,verb,A2,to hurt or damage someone or something,/h??m/,Don't harm the animals.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
harmful,adjective,A2,causing harm or damage,/'h??mfl/,The chemicals are harmful to the environment.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
harmless,adjective,B2,not able or likely to cause harm,/'h??ml?s/,The snake is harmless.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
harmony,noun,A2,a pleasant combination of musical notes; agreement or peace,/'h??m?ni/,They live in harmony.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
harness,noun,B1,a set of straps for holding or controlling an animal or for safety,/'h??n?s/,The horse wears a harness.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
harrow,noun,B2,a farm tool with sharp teeth for breaking up soil,/'h???/,The farmer used a harrow to prepare the field.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
harvest,noun,A2,the time when crops are gathered; the crops that are collected,/'h??v?st/,The harvest was very good this year.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
has,have-verb,A1,third person singular of 'have',/h?/,She has a new car.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
haste,noun,B2,"great speed, especially when time is short",/he?st/,He left in haste.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hastily,adverb,B2,quickly and with little thought,/'he?st?li/,She packed her bag hastily.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hasty,adjective,B1,"done quickly, often without enough thought",/'he?sti/,He made a hasty decision.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hat,noun,A1,"a covering for the head, often with a brim",/h?/,She wore a red hat.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hatch,noun,B1,"an opening in a floor, roof, or wall; the act of an egg breaking open",/h??/,The chicks came out of the hatch.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hatching,noun,B2,the process of an egg breaking open and a young animal coming out,/'h????/,The hatching of the eggs took two days.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hate,noun,B1,a strong feeling of dislike,/he?t/,There is too much hate in the world.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hate,verb,A2,to dislike someone or something very much,/he?t/,I hate getting up early.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
hatred,noun,B1,a very strong feeling of dislike,/'he?tr?d/,He felt hatred towards his enemy.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
haunt,noun,B1,a place often visited by a person or group,/h??nt/,This caf?is a popular haunt for students.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
